"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "XML", "CSS", "SQL", "comment", "blank", "total"
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\WriteReview.jsx", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 3, 15, 127
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\Addresses.css", "CSS", 0, 0, 0, 0, 0, 102, 0, 0, 19, 121
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\AddressesForm.css", "CSS", 0, 0, 0, 0, 0, 181, 0, 0, 28, 209
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\CardReviews.css", "CSS", 0, 0, 0, 0, 0, 80, 0, 5, 16, 101
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\ImageGallery.css", "CSS", 0, 0, 0, 0, 0, 50, 0, 0, 8, 58
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\ImageReviewsSlider.css", "CSS", 0, 0, 0, 0, 0, 75, 0, 0, 10, 85
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\Notification.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 0, 6, 44
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\ProductSlider.css", "CSS", 0, 0, 0, 0, 0, 49, 0, 0, 9, 58
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\ReviewDetails.css", "CSS", 0, 0, 0, 0, 0, 159, 0, 0, 26, 185
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\Security.css", "CSS", 0, 0, 0, 0, 0, 61, 0, 2, 14, 77
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\SubBar.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 0, 2, 26
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\WriteReview.css", "CSS", 0, 0, 0, 0, 0, 62, 0, 1, 9, 72
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\footer.css", "CSS", 0, 0, 0, 0, 0, 11, 0, 1, 7, 19
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\login.css", "CSS", 0, 0, 0, 0, 0, 215, 0, 1, 42, 258
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\navbar.css", "CSS", 0, 0, 0, 0, 0, 267, 0, 0, 38, 305
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\productCard.css", "CSS", 0, 0, 0, 0, 0, 151, 0, 6, 32, 189
"c:\Users\pablo\Desktop\UNIVERSIDAD\TFG\ProyectoTFG\frontend\src\components\css\profile\OrderTracking.css", "CSS", 0, 0, 0, 0, 0, 184, 0, 0, 44, 228
